aircraft_id,time_id,total_flight_hours,total_flight_cycles
XY-AAB,1,8.0,2
XY-AAB,4,1.0,1
XY-AAB,6,5.0,1
XY-AAB,7,4.0,1
XY-AAB,8,4.0,1
XY-AAB,9,1.0,1
XY-AAB,10,7.0,4
XY-AAB,11,4.0,2
XY-AAB,12,6.0,2
XY-AAB,13,1.0,1
XY-AAB,16,3.0,2
XY-AAB,17,4.0,1
XY-AAB,18,8.0,2
XY-AAB,20,6.0,2
XY-AAB,21,8.0,2
XY-AAB,22,8.0,3
XY-AAB,23,2.0,1
XY-AAB,24,4.0,1
XY-AAB,26,1.0,1
XY-AAB,27,2.0,1
XY-AAB,28,12.0,4
XY-AAB,29,5.0,2
XY-AAB,31,5.0,4
XY-AAB,33,1.0,1
XY-AAB,34,4.0,1
XY-AAB,35,3.0,1
XY-AAB,36,4.0,1
XY-AAB,38,1.0,1
XY-AAB,39,3.0,2
XY-AAB,41,1.0,1
XY-AAB,42,5.0,1
XY-AAB,44,3.0,3
XY-AAB,46,1.0,1
XY-AAB,47,2.0,1
XY-AAB,48,4.0,3
XY-AAB,49,2.0,1
XY-AAB,52,7.0,3
XY-AAB,53,1.0,1
XY-AAB,54,8.0,3
XY-AAB,57,5.0,2
XY-AAB,58,1.0,1
XY-AAB,59,5.0,1
XY-AAB,60,8.0,4
XY-AAB,61,5.0,3
XY-AAB,62,2.0,1
XY-AAB,63,6.0,2
XY-AAB,64,7.0,2
XY-AAB,66,1.0,1
XY-AAB,67,5.0,1
XY-AAB,68,4.0,2
XY-AAB,69,3.0,2
XY-AAB,70,1.0,1
XY-AAB,71,6.0,3
XY-AAB,72,6.0,2
XY-AAB,73,4.0,2
XY-AAB,74,7.0,2
XY-AAB,76,2.0,1
XY-AAB,77,2.0,2
XY-AAB,78,6.0,2
XY-AAB,79,5.0,2
XY-AAB,80,8.0,3
XY-AAB,81,5.0,2
XY-AAB,82,2.0,2
XY-AAB,83,1.0,1
XY-AAB,84,5.0,4
XY-AAB,86,2.0,1
XY-AAB,87,6.0,2
XY-AAB,89,3.0,1
XY-AAB,92,5.0,1
XY-AAB,93,2.0,2
XY-AAB,94,5.0,3
XY-AAB,95,5.0,1
XY-AAB,96,3.0,2
XY-AAB,97,10.0,3
XY-AAB,98,4.0,1
XY-AAB,99,2.0,2
XY-AAB,101,4.0,1
XY-AAB,102,5.0,1
XY-AAB,103,3.0,1
XY-AAB,104,6.0,2
XY-AAB,105,6.0,2
XY-AAB,106,3.0,1
XY-AAB,108,2.0,2
XY-AAB,109,5.0,1
XY-AAB,110,3.0,2
XY-AAB,111,1.0,1
XY-AAB,113,3.0,2
XY-AAB,115,6.0,2
XY-AAB,116,3.0,1
XY-AAB,117,4.0,1
XY-AAB,118,4.0,3
XY-AAB,119,3.0,1
XY-AAB,120,10.0,2
XY-AAB,121,3.0,2
XY-AAB,122,5.0,1
XY-AAB,123,4.0,1
XY-AAB,124,5.0,3
XY-AAB,125,3.0,1
XY-AAB,127,1.0,1
XY-AAB,128,1.0,1
XY-AAB,129,7.0,2
XY-AAB,130,7.0,4
XY-AAB,131,3.0,2
XY-AAB,132,4.0,3
XY-AAB,133,2.0,1
XY-AAB,134,4.0,1
XY-AAB,135,6.0,2
XY-AAB,136,5.0,1
XY-AAB,137,9.0,4
XY-AAB,138,4.0,2
XY-AAB,139,1.0,1
XY-AAB,142,1.0,1
XY-AAB,143,1.0,1
XY-AAB,144,10.0,4
XY-AAB,147,3.0,1
XY-AAB,148,3.0,1
XY-AAB,149,3.0,1
XY-AAB,151,9.0,3
XY-AAB,152,6.0,2
XY-AAB,153,5.0,2
XY-AAB,154,1.0,1
XY-AAB,155,5.0,1
XY-AAB,156,4.0,1
XY-AAB,157,3.0,1
XY-AAB,158,4.0,1
XY-AAB,159,4.0,2
XY-AAB,161,3.0,2
XY-AAB,162,3.0,2
XY-AAB,163,1.0,1
